,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
5110,602000.0,1.0,0.0,1.0,2879.0,1240.0,1940.0,5.0,19.0,2017.0,40.907992,-73.89835490000002,1.7169791399578922,3.5268519298456065,217.8607952880707,2,RIVERDALE,01 ONE FAMILY DWELLINGS                    ,1,5875,935,A1, ,10471,1,A1,0
5111,650000.0,1.0,0.0,1.0,2500.0,1376.0,1930.0,4.0,16.0,2017.0,40.702659000000004,-73.8284429,0.7099715112849381,3.4331903731621654,217.9003387432096,4,KEW GARDENS,01 ONE FAMILY DWELLINGS                    ,1,9268,24,A1, ,11415,1,A1,0
5112,425000.0,1.0,0.0,1.0,2576.0,1200.0,1965.0,12.0,49.0,2016.0,40.5829138,-74.0954498,4.202870194418862,2.084076282110344,217.9329215992,5,MIDLAND BEACH,01 ONE FAMILY DWELLINGS                    ,1,3657,75,A5, ,10305,1,A5,1
5113,8524937.0,0.0,1.0,1.0,2500.0,10690.0,1910.0,6.0,23.0,2017.0,40.808307299999996,-73.91949389999998,1.34331464310135,3.028816710280976,217.73674028830783,2,MOTT HAVEN/PORT MORRIS,32 HOSPITAL AND HEALTH FACILITIES          ,4,2283,50,I1, ,10454,4,I1,0
5114,410000.0,1.0,0.0,1.0,4000.0,908.0,1930.0,7.0,30.0,2017.0,40.671423499999996,-73.766116,1.2107476954106273,2.4437298245337717,217.89291493800405,4,SPRINGFIELD GARDENS,01 ONE FAMILY DWELLINGS                    ,1,12580,5,A2, ,11434,1,A2,0
5115,1600000.0,4.0,0.0,4.0,2000.0,3600.0,1910.0,12.0,49.0,2016.0,40.680932,-73.93305440000002,3.6706390512375773,0.5311851789375104,217.7475520396849,3,BEDFORD STUYVESANT,07 RENTALS - WALKUP APARTMENTS             ,2A,1680,59,C3, ,11233,2,C3,1
5116,565000.0,3.0,0.0,3.0,1800.0,3540.0,1910.0,8.0,35.0,2017.0,40.7054841,-73.8969863,1.4246719891651216,2.040778509439538,217.77514270904888,4,RIDGEWOOD,03 THREE FAMILY DWELLINGS                  ,1,3532,21,C0, ,11385,1,C0,0
5117,410000.0,1.0,0.0,1.0,4242.0,1984.0,1950.0,8.0,34.0,2017.0,40.7479508,-73.7450355,1.7286419354143407,2.3284748756916747,217.84941601831923,4,ROSEDALE,01 ONE FAMILY DWELLINGS                    ,1,13538,165,A1, ,11413,1,A1,0
5118,725000.0,1.0,0.0,1.0,4075.0,2441.0,1985.0,8.0,31.0,2017.0,40.589314200000004,-74.1638554,2.856552271467991,3.3324707950359795,217.86400164456205,5,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS                    ,1,2402,34,A5, ,10314,1,A5,0
5119,350000.0,1.0,0.0,1.0,2850.0,1948.0,1920.0,10.0,42.0,2016.0,40.844431,-73.8634936,3.4805056202772255,1.7195696025683451,217.87907024218853,2,MORRIS PARK/VAN NEST,01 ONE FAMILY DWELLINGS                    ,1,4035,26,A1, ,10462,1,A1,1
5120,2400000.0,3.0,0.0,3.0,1933.0,2625.0,1899.0,8.0,33.0,2017.0,40.7239276,-73.97792799999998,1.2957893968961025,2.074740549126771,217.79072555542737,3,GOWANUS,03 THREE FAMILY DWELLINGS                  ,1,992,47,C0, ,11215,1,C0,0
