,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,deucli_k4,deucli_k5,deucli_k6,deucli_k7,deucli_k8,deucli_k9,deucli_k10,SALE PRICE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE
2337,2,0,2,2210,1756,1920,5,21,2017,0.47746795144969667,0.8495401853645603,0.18310932315839085,0.12529457130793042,0.4004082581414472,0.018283634325255798,0.1778665145548811,0.25827320581416,0.35708253948858265,0.11367943138469458,0.09962503210630895,0.13271965269918176,580000.0,4,SOUTH JAMAICA,02 TWO FAMILY DWELLINGS                    ,1,10188,28,B3, ,11433,1,B3
2338,6,0,6,3325,4400,1930,2,9,2017,0.8480623653747443,0.6018275103641884,0.13380051161653714,0.2788855758005063,0.378875518592818,0.21358432429746652,0.058374300617953206,0.25349748356458657,0.31207594364557056,0.14860326400010723,0.1061549671859964,0.2054846099515474,560000.0,2,HIGHBRIDGE/MORRIS HEIGHTS,07 RENTALS - WALKUP APARTMENTS             ,2A,2877,259,C2, ,10453,2,C2
2339,3,0,3,3500,3260,1920,3,13,2017,0.4269181188111304,0.7310860214218167,0.12502793201452153,0.09299083059613165,0.33175193756729476,0.08706646998111105,0.18073033437533728,0.18949755099936025,0.2886719670973693,0.05514391536306527,0.09122768453076134,0.06455476567165748,940000.0,4,OZONE PARK,03 THREE FAMILY DWELLINGS                  ,1,11349,12,C0, ,11417,1,C0
2340,2,0,2,4606,2556,1965,1,1,2017,0.23318346996018136,0.16359915723998597,0.23587293426740133,0.32589248238474594,0.04184571692718355,0.4109594861161632,0.39751973506814653,0.1349163683294011,0.03939740355980064,0.28680747362442305,0.3530576981749653,0.26198296098607976,675000.0,5,NEW SPRINGVILLE,02 TWO FAMILY DWELLINGS                    ,1,2114,169,B2, ,10314,1,B2
2341,1,0,1,3680,1582,1925,7,28,2017,0.46734926818119504,0.7631838501236246,0.1369035458178232,0.10912095658335329,0.35450824826982497,0.06592100571219311,0.16648620262601094,0.2115867591764147,0.30957117260646116,0.06655889401260151,0.07783132541453727,0.08836373347142859,742000.0,4,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,9399,14,A1, ,11419,1,A1
2342,2,0,2,2500,1872,1940,3,12,2017,0.5217998423238583,0.7160501614651764,0.10762086240257908,0.13295325669951516,0.34066412210214275,0.09216319147391323,0.14113524392687596,0.1968820581544379,0.29077837966285325,0.041416370846834666,0.05199323731098213,0.08520872090671998,744300.0,4,FOREST HILLS,02 TWO FAMILY DWELLINGS                    ,1,3180,37,B1, ,11374,1,B1
2343,1,0,1,2600,1969,1910,6,26,2017,0.26199593025059187,0.4582758049173492,0.12099148889371443,0.16440666189001635,0.1665498401589332,0.2522825702729032,0.28384343233117826,0.033472705041572515,0.133019415296977,0.1403194071874615,0.2158670651761662,0.10135618467135987,1180000.0,3,BENSONHURST,01 ONE FAMILY DWELLINGS                    ,1,6332,61,A9, ,11214,1,A9
2344,1,0,1,640,980,1990,6,22,2017,0.13662643729371382,0.09528386579390258,0.2895318860691682,0.3645089486654461,0.0431125347435165,0.4586962402973005,0.4522302895554562,0.1824101287227326,0.09414047611044302,0.3375467948159486,0.40578360412472864,0.30824829534241877,305000.0,5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,6027,4,A9, ,10312,1,A9
2345,2,0,2,2325,1672,1930,4,15,2017,0.4244689567804585,0.6943308536243933,0.10696174523556286,0.09669785882308361,0.31252683886979865,0.10687665882350167,0.18136783054927752,0.1697990350441736,0.2685341514889245,0.03949230271606636,0.0933380219631955,0.04707877582874046,425880.0,3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4234,38,B2, ,11208,1,B2
2346,1,0,1,1900,1440,1931,6,26,2017,0.5303131924966351,0.7104197117792523,0.1042911444425356,0.13692169966544793,0.3396067773808296,0.09578359432016922,0.13754002365047616,0.19586766703132008,0.2890064600942824,0.0396813588831603,0.04878720848712706,0.08645983889217003,788000.0,4,REGO PARK,01 ONE FAMILY DWELLINGS                    ,1,3141,31,A5, ,11374,1,A5
