,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
4901,1430000.0,3.0,0.0,3.0,2500.0,2600.0,1925.0,2.0,6.0,2017.0,40.6151375,-74.0008965,4.266548595540425,1.6125596297059688,218.02522713905003,3,BENSONHURST,03 THREE FAMILY DWELLINGS                  ,1,6236,15,C0, ,11214,1,C0,1
4902,1035000.0,2.0,0.0,2.0,2050.0,1694.0,1945.0,3.0,9.0,2017.0,40.7151935,-73.8848731,3.82313559304976,0.8216153490797938,218.07518026011778,4,MIDDLE VILLAGE,02 TWO FAMILY DWELLINGS                    ,1,3028,88,B1, ,11379,1,B1,1
4903,625000.0,1.0,0.0,1.0,4000.0,1125.0,1960.0,12.0,50.0,2016.0,40.664328000000005,-73.842101,1.1157539478694807,3.819031658705818,218.11817334829922,4,HOWARD BEACH,01 ONE FAMILY DWELLINGS                    ,1,11472,57,A2, ,11414,1,A2,0
4904,375000.0,1.0,0.0,1.0,2070.0,1864.0,1940.0,11.0,46.0,2016.0,40.83909999999999,-73.82617929999998,1.8747465329670492,3.856781901287347,218.12692488714688,2,SCHUYLERVILLE/PELHAM BAY,01 ONE FAMILY DWELLINGS                    ,1,5362,38,A5, ,10461,1,A5,0
4905,199900.0,152.0,0.0,152.0,230400.0,118980.0,1950.0,11.0,47.0,2016.0,40.743724799999995,-73.70254140000002,13.223813982370588,13.675905972114402,205.8293031483913,4,FLORAL PARK,09 COOPS - WALKUP APARTMENTS               ,2,8743,102,C6, ,11004,2,C6,0
4906,220000.0,22.0,0.0,22.0,5000.0,16200.0,1928.0,11.0,44.0,2016.0,40.900737899999996,-73.855166,2.913419671125609,4.410017363405507,216.850907496914,2,WAKEFIELD,07 RENTALS - WALKUP APARTMENTS             ,2,5067,40,C1, ,10470,2,C1,0
4907,960000.0,1.0,0.0,1.0,1550.0,1440.0,1920.0,10.0,43.0,2016.0,40.61664469999999,-73.98417370000001,1.2384484303470689,3.3554090886709527,218.15734435495042,3,BOROUGH PARK,01 ONE FAMILY DWELLINGS                    ,1,5542,67,A5, ,11204,1,A5,0
4908,575000.0,1.0,0.0,1.0,3700.0,1457.0,1920.0,1.0,3.0,2017.0,40.691337700000005,-73.84624819999998,4.486558616173257,1.6577250886867931,218.1131910506023,4,WOODHAVEN,01 ONE FAMILY DWELLINGS                    ,1,8977,21,A1, ,11421,1,A1,1
4909,699000.0,1.0,0.0,1.0,5000.0,972.0,1950.0,4.0,16.0,2017.0,40.614188,-73.9119392,3.4974125916543355,0.9694743843315305,218.09830991768195,3,MILL BASIN,01 ONE FAMILY DWELLINGS                    ,1,8463,47,A2, ,11234,1,A2,1
4910,640000.0,1.0,0.0,1.0,4275.0,1032.0,1940.0,11.0,47.0,2016.0,40.6090655,-74.07065399999998,1.5617796990131487,3.7617491661805738,218.13597718047725,5,ROSEBANK,01 ONE FAMILY DWELLINGS                    ,1,3001,5,A2, ,10305,1,A2,0
