,SALE PRICE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,deucli_k4,deucli_k5,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,cluster
1758,310000.0,1.0,0.0,1.0,2500.0,1104.0,1930.0,1.0,3.0,2017.0,40.6092764,-74.0858093,2.7327379045821987,4.820973308546752,2.498090024372851,218.15764300267725,176.14232616672973,5,CONCORD,01 ONE FAMILY DWELLINGS                    ,1,2890,15,A1, ,10304,1,A1,2
1759,840000.0,1.0,0.0,1.0,6305.0,2070.0,1910.0,7.0,29.0,2017.0,40.698842,-73.84349999999998,3.566168573507188,2.6960327810236726,1.349182816043365,218.0550338891833,176.08839063225673,4,RICHMOND HILL,01 ONE FAMILY DWELLINGS                    ,1,9191,1,A1, ,11418,1,A1,2
1760,510000.0,2.0,0.0,2.0,2625.0,2064.0,1920.0,10.0,43.0,2016.0,40.89850070000001,-73.8553452,5.1773986488465145,2.2643403130963353,3.8102728263557943,218.0768319503155,176.06031583297994,2,WAKEFIELD,02 TWO FAMILY DWELLINGS                    ,1,5042,23,B2, ,10466,1,B2,1
1761,772000.0,2.0,0.0,2.0,4000.0,2400.0,1950.0,12.0,51.0,2016.0,40.6530845,-73.74579720000001,4.389063289813568,1.5325354265653033,3.987504394153052,218.0464651783579,176.05248872070575,4,ROSEDALE,02 TWO FAMILY DWELLINGS                    ,1,13747,14,B3, ,11422,1,B3,1
1762,525000.0,1.0,0.0,1.0,3000.0,1438.0,1920.0,7.0,30.0,2017.0,40.6993414,-73.78228179999998,3.7339912415327525,2.7014128184042114,1.422400185804762,218.1083235064464,176.08721807210605,4,SOUTH JAMAICA,01 ONE FAMILY DWELLINGS                    ,1,10257,86,A1, ,11433,1,A1,2
1763,500000.0,3.0,0.0,3.0,2500.0,3238.0,1925.0,9.0,35.0,2016.0,40.830869,-73.8658559,4.386868159971482,1.6395274595385128,3.0548322897715177,218.00113654140785,176.0298075116936,2,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,1,3764,20,C0, ,10472,1,C0,1
1764,545000.0,1.0,0.0,1.0,2375.0,1965.0,2000.0,10.0,42.0,2016.0,40.595186,-74.072172,2.3509439357446458,2.910785227357451,4.322337495943688,218.14049909403397,176.1097965881898,5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,1,3273,45,A5, ,10305,1,A5,0
1765,990000.0,1.0,0.0,1.0,4007.0,2632.0,1986.0,3.0,9.0,2017.0,40.7555927,-73.78322370000001,3.7689071556751315,4.2808471050742085,2.0713478844362117,218.06923057137215,176.1230052088207,4,FLUSHING-NORTH,01 ONE FAMILY DWELLINGS                    ,1,5539,25,A1, ,11358,1,A1,2
1766,535000.0,2.0,0.0,2.0,4000.0,1938.0,1960.0,9.0,38.0,2016.0,40.666804,-73.82238000000001,3.3453996469104514,1.2398218587550878,3.0272139156827493,218.04726253671717,176.0527483488856,4,SOUTH OZONE PARK,02 TWO FAMILY DWELLINGS                    ,1,11841,41,B2, ,11420,1,B2,1
1767,410000.0,1.0,0.0,1.0,5713.0,792.0,1920.0,7.0,30.0,2017.0,40.882709000000006,-73.860935,4.573167721620673,3.259786028673565,2.2867734527412082,218.090918488609,176.0991476127043,2,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,4666,77,A2, ,10467,1,A2,2
1768,860000.0,2.0,2.0,4.0,1463.0,2394.0,1931.0,8.0,31.0,2017.0,40.7095596,-73.79714990000001,3.558631638479383,2.49892330728902,1.5069965939946057,218.029125928819,175.9061630278289,4,JAMAICA,14 RENTALS - 4-10 UNIT                     ,2A,9837,9,S9, ,11432,2,S9,2
1769,585000.0,3.0,0.0,3.0,2619.0,2420.0,1940.0,4.0,16.0,2017.0,40.70241,-73.858329,3.075888449490939,3.3896624499349253,0.3373471966650588,218.00374749492337,176.05441755397786,4,GLENDALE,03 THREE FAMILY DWELLINGS                  ,1,3866,12,C0, ,11385,1,C0,2
1770,665000.0,3.0,0.0,3.0,2000.0,2764.0,1960.0,4.0,17.0,2017.0,40.83090430000001,-73.8726306,3.734074960209511,3.717631410338643,1.6138112994882043,218.0041232746877,176.06317766417143,2,SOUNDVIEW,03 THREE FAMILY DWELLINGS                  ,1,3780,15,C0, ,10472,1,C0,2
1771,905000.0,3.0,0.0,3.0,1260.0,1944.0,1950.0,11.0,48.0,2016.0,40.7516241,-73.788977,4.342686360824199,1.101736202557358,3.6043435371381656,218.0420952835536,176.02620363312582,4,FLUSHING-NORTH,03 THREE FAMILY DWELLINGS                  ,1,5603,28,C0, ,11358,1,C0,1
1772,1110000.0,1.0,0.0,1.0,2400.0,1692.0,1920.0,9.0,38.0,2016.0,40.620953899999996,-73.9578113,3.087931558270685,1.3962818331441305,3.113660043848684,218.13594083275697,176.07926589752083,3,MIDWOOD,01 ONE FAMILY DWELLINGS                    ,1,6728,42,A9, ,11230,1,A9,1
1773,201400.0,1.0,0.0,1.0,2500.0,900.0,1930.0,8.0,32.0,2017.0,40.4995026,-74.23958909999999,2.2502328939494993,4.401143256634383,4.073991011788266,218.18356861336176,176.13969172910654,5,TOTTENVILLE,01 ONE FAMILY DWELLINGS                    ,1,7859,49,A2, ,10307,1,A2,0
1774,999999.0,2.0,0.0,2.0,11642.0,1688.0,1925.0,1.0,2.0,2017.0,40.591808799999995,-74.09075370000001,2.8465245903267413,4.9346733776221585,2.6706258017294786,217.97991999272287,176.1211315964462,5,DONGAN HILLS,02 TWO FAMILY DWELLINGS                    ,1,3330,16,B3, ,10305,1,B3,2
1775,575000.0,2.0,0.0,2.0,3842.0,1980.0,1915.0,1.0,1.0,2017.0,40.684201,-73.854417,3.9741253086516535,4.550190373703118,1.6487331464511066,218.0582193633773,176.10106594323418,4,OZONE PARK,02 TWO FAMILY DWELLINGS                    ,1,9022,32,B2, ,11416,1,B2,2
1776,153696.0,1.0,1.0,2.0,5438.0,5303.0,1935.0,8.0,33.0,2017.0,40.510495,-74.2422378,2.1069925682621466,4.33257375478325,4.0302286421278835,218.0349493039945,176.06066919519424,5,TOTTENVILLE,22 STORE BUILDINGS                         ,4,7868,1,K4, ,10307,4,K4,0
1777,381843.0,1.0,1.0,2.0,2375.0,4012.0,1927.0,11.0,44.0,2016.0,40.877789299999996,-73.86452220000001,4.98631588678888,1.9827726644127543,3.8257029140713543,218.06796078506665,176.0044187914918,2,WILLIAMSBRIDGE,01 ONE FAMILY DWELLINGS                    ,1,4657,78,S1, ,10467,1,S1,1
1778,970000.0,1.0,0.0,1.0,6700.0,2912.0,1970.0,7.0,28.0,2017.0,40.569681200000005,-74.1366352,0.7401914159017949,3.797844191727574,3.0993425194458775,218.056563332684,176.12513350605465,5,RICHMONDTOWN,01 ONE FAMILY DWELLINGS                    ,1,4415,2,A1, ,10306,1,A1,0
1779,709500.0,2.0,0.0,2.0,3424.0,2392.0,1960.0,12.0,51.0,2016.0,40.667995,-73.85291020000001,3.8026383611157826,1.1619863580515333,3.8843300439836046,218.05545675017325,176.054429854018,4,HOWARD BEACH,02 TWO FAMILY DWELLINGS                    ,1,11413,29,B2, ,11414,1,B2,1
1780,968000.0,1.0,0.0,1.0,2100.0,1680.0,1920.0,11.0,47.0,2016.0,40.6028691,-73.9769997,3.4137011273964752,1.5175841796979987,3.771389576209429,218.14840156532097,176.0817532402605,3,GRAVESEND,01 ONE FAMILY DWELLINGS                    ,1,6676,19,A5, ,11223,1,A5,1
1781,1130000.0,0.0,3.0,3.0,798.0,2010.0,1987.0,1.0,4.0,2017.0,40.748098,-73.8766552,3.5345550031841566,4.70968816442191,2.2622903273784876,218.13070556371946,175.92724737535826,4,ELMHURST,22 STORE BUILDINGS                         ,4,1510,17,K2, ,11373,4,K2,2
1782,572000.0,1.0,0.0,1.0,2113.0,1920.0,1940.0,4.0,16.0,2017.0,40.839885200000005,-73.8223896,4.205365319446763,3.742732763449492,1.5450164621679854,218.11132310704923,176.10814920437548,2,COUNTRY CLUB,01 ONE FAMILY DWELLINGS                    ,1,5408,268,A1, ,10465,1,A1,2
1783,539000.0,2.0,0.0,2.0,4000.0,1190.0,1960.0,2.0,6.0,2017.0,40.631080499999996,-73.8948066,2.772825952162642,4.275513416600255,1.6667060328070171,218.06521408703847,176.10034670212147,3,CANARSIE,02 TWO FAMILY DWELLINGS                    ,1,8293,71,B1, ,11236,1,B1,2
1784,660000.0,1.0,0.0,1.0,4000.0,1732.0,1920.0,10.0,43.0,2016.0,40.76585559999999,-73.8647421,4.206432458889716,0.8767334645450303,3.2172262185911373,218.1046335442499,176.072638556752,4,EAST ELMHURST,01 ONE FAMILY DWELLINGS                    ,1,1656,44,A3, ,11369,1,A3,1
1785,3400000.0,0.0,2.0,2.0,20579.0,4177.0,1922.0,2.0,6.0,2017.0,40.7129831,-73.91784390000001,3.490724688761995,4.161228649478344,1.263237379063562,217.8395747143735,175.98714797475967,4,RIDGEWOOD,27 FACTORIES                               ,4,3375,87,F9, ,11385,4,F9,2
1786,648000.0,2.0,0.0,2.0,1853.0,1444.0,1925.0,3.0,13.0,2017.0,40.660602000000004,-73.89139399999998,3.076071736470726,3.7111701141977145,0.85672921928849,218.08797118104235,176.08453819834875,3,EAST NEW YORK,02 TWO FAMILY DWELLINGS                    ,1,4299,36,B3, ,11207,1,B3,2
1787,800000.0,3.0,0.0,3.0,3011.0,3339.0,2006.0,8.0,33.0,2017.0,40.64784470000001,-73.90339370000001,2.3865839185547166,3.3701225754034922,2.89611469786571,217.98249730512902,176.06341019543504,3,CANARSIE,03 THREE FAMILY DWELLINGS                  ,1,8148,9,C0, ,11236,1,C0,0
