,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,sale_month,sale_week,sale_year,latitude,longitude,deucli_k1,deucli_k2,deucli_k3,deucli_k4,deucli_k5,deucli_k6,deucli_k7,deucli_k8,deucli_k9,deucli_k10,SALE PRICE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE
3031,7,0,7,1950,2340,1931,12,49,2016,40.6932107,-73.95009259999999,0.06915816869193118,0.07924398551454806,0.13085133018127576,0.17986155441464588,0.036467457139946514,0.22904076708199195,0.09248063990044451,0.1716775686577659,0.07467343385088,0.06629702804337628,1500000.0,3,BEDFORD STUYVESANT,07 RENTALS - WALKUP APARTMENTS             ,2B,1766,65,C1, ,11206,2,C1
3032,4,0,4,1892,2189,1900,3,13,2017,40.79812099999999,-73.9327347,0.059237504328283945,0.18259340586738787,0.16088213384177802,0.18160529134840622,0.13839187228372984,0.30615468433590887,0.13243372708301526,0.07739705047533559,0.059364993505181554,0.09835732279746606,1487500.0,1,HARLEM-EAST,07 RENTALS - WALKUP APARTMENTS             ,2A,1807,40,C3, ,10035,2,C3
3033,1,0,1,2415,1212,1960,10,43,2016,40.6209257,-74.1108388,0.19202299115734922,0.12093487327468196,0.2979547751062377,0.3520160115236795,0.17951586002671083,0.05495229138682796,0.26212147262115176,0.32824679825534253,0.24647574375377654,0.24204378351665715,335088.0,5,CLOVE LAKES,01 ONE FAMILY DWELLINGS                    ,1,327,4,A5, ,10301,1,A5
3034,1,0,1,3000,1207,1945,2,6,2017,40.7375917,-73.81169899999999,0.16527269493133592,0.21098947967342405,0.05441216683606053,0.04633378091939936,0.14629730624628637,0.37280217405824456,0.066925778299666,0.12414023591486698,0.08898820914089586,0.07910296575997747,499000.0,4,FLUSHING-SOUTH,01 ONE FAMILY DWELLINGS                    ,1,6748,132,A2, ,11367,1,A2
3035,1,0,1,560,1510,2004,12,52,2016,40.5644479,-74.1841468,0.2840014280420192,0.20332422906280254,0.38358875472658716,0.4390975584488264,0.2662194979019808,0.038109775879901345,0.34938889853926947,0.42043024045166105,0.33859507412317175,0.3320893724245331,345000.0,5,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS                    ,1,5740,171,A5, ,10312,1,A5
3036,2,0,2,3000,2490,1930,1,2,2017,40.71240299999999,-73.80440399999999,0.17718824207169734,0.20522997303023152,0.032422096494859845,0.03297261621898947,0.14133955236083065,0.36995933701657663,0.058219915923068924,0.14981562081329916,0.10222146511061615,0.08194019969174281,900000.0,4,JAMAICA HILLS,02 TWO FAMILY DWELLINGS                    ,1,9784,34,B2, ,11432,1,B2
3037,2,0,2,2000,1740,1930,9,39,2016,40.7158101,-73.9062323,0.08104402493426698,0.123721175964382,0.09238846850508728,0.1347369050732205,0.06326695736531644,0.2783704478228306,0.05544304471451405,0.13471151979035118,0.03337010380894945,0.02037847340138342,790000.0,4,MASPETH,02 TWO FAMILY DWELLINGS                    ,1,2651,31,B2, ,11378,1,B2
3038,1,0,1,2000,1378,1925,4,15,2017,40.7506784,-73.9723612,0.007559923879238965,0.1271746636836673,0.16679311176447437,0.2040833924139447,0.09808068450694826,0.24471859003880916,0.13019533790851434,0.13848116220447013,0.07238676726084878,0.09456863861137514,310000.0,3,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS                    ,1,4896,29,A9, ,11203,1,A9
3039,1,0,1,2500,895,1930,3,13,2017,40.601203,-73.8214038,0.21962641422166918,0.17019359782267268,0.08257086953131348,0.12384500849726518,0.12830979290307412,0.3303110755284603,0.09499708213678366,0.2500702265299193,0.16703933915456537,0.12790069273892796,175000.0,4,BROAD CHANNEL,01 ONE FAMILY DWELLINGS                    ,1,15321,56,A2, ,11693,1,A2
3040,1,0,1,1815,866,1986,12,49,2016,40.5937468,-74.0842035,0.19633091570812708,0.099201623449352,0.27950855096198035,0.33522507499678966,0.16262973844921214,0.06779706093715304,0.2457054583048403,0.32971381860700627,0.24063855574381984,0.2301992833255854,260000.0,5,SOUTH BEACH,01 ONE FAMILY DWELLINGS                    ,1,3348,70,A1, ,10305,1,A1
